School,Odds
Florida,+350
Duke,+360
Auburn,+400
Houston,+600
Alabama,+1200
Tennesse,+1400
Michigan State,+2200
St. John's,+2200
Iowa State,+3000
Texas Tech,+3500
Kentucky,+4000
Connecticut,+5000
Arizona,+5000
Gonzaga,+5000
Wisconsin,+5000
Maryland,+5000
Kansas,+6000
Clemson,+6000
BYU,+6600
Texas A&M,+6600
Purdue,+8000
Marquette,+8000
Michigan,+8000
Missouri,+8000
Creighton,+10000
Illinois,+10000
Saint Mary's,+10000
Mississippi State,+10000
UCLA,+10000
Ole Miss,+10000
Louisville,+10000
Oregon,+15000
Memphis,+15000
Baylor,+20000
New Mexico,+20000
Vanderbilt,+20000
Arkansas,+25000
VCU,+25000
North Carolina,+30000
Georgia,+30000
Texas,+35000
Utah State,+35000
San Diego State,+50000
Xavier,+50000
Oklahoma,+50000
Colorado State,+50000
Drake,+50000
UC San Diego,+50000
Grand Canyon,+100000
McNeese,+100000
Yale,+100000
Liberty,+100000
Troy,+100000
Wofford,+100000
Saint Francis U,+100000
Robert Morris,+100000
UNC Wilmington,+100000
SIU Edwardsville,+100000
High Point,+100000
Lipscomb,+100000
Omaha,+100000
American,+100000
Montana,+100000
Bryant,+100000
Akron,+100000
Norfolk State,+100000
Alabama State,TBA
Mount Saint Mary's,+200000
